geom,country_code,code,name,fishing_port,landing_place,commercial_port,enabled
SRID=4326;MULTIPOINT(8.083 53.642),DEU,DEHOO,HOOKSIEL,Y,"","",Y
SRID=4326;MULTIPOINT(8.022 53.685),DEU,DEHOS,HORUMERSIEL,Y,"","",Y
SRID=4326;MULTIPOINT(9.6 53.603),DEU,DEHQN,HETLINGEN,Y,"","",Y
SRID=4326;MULTIPOINT(8.297 54.758),DEU,DEHRM,Hörnum-Sylt,Y,"",Y,Y
SRID=4326;MULTIPOINT(7.808 53.707),DEU,DEHSX,HARLESIEL,Y,"","",Y
SRID=4326;MULTIPOINT(9.045 54.475),DEU,DEHUS,HUSUM,Y,"",Y,Y
SRID=4326;MULTIPOINT(10.523 54.375),DEU,DEHUV,HUBERTSBERG,Y,"","",Y
SRID=4326;MULTIPOINT(8.333 54.65),DEU,DEIAM,Amrum,Y,"","",Y
SRID=4326;MULTIPOINT(9.492 53.922),DEU,DEITZ,ITZEHOE,Y,"",Y,Y
SRID=4326;MULTIPOINT(13.828 54.113),DEU,DEKAJ,Karlshagen,Y,"","",Y
SRID=4326;MULTIPOINT(9.935 54.658),DEU,DEKAP,KAPPELN,Y,"",Y,Y
SRID=4326;MULTIPOINT(14.207 53.87),DEU,DEKAV,Kamminke,Y,"","",Y
SRID=4326;MULTIPOINT(11.44 53.995),DEU,DEKDM,KIRCHDORF,Y,"","",Y
SRID=4326;MULTIPOINT(10.157 54.333),DEU,DEKEL,KIEL,Y,"",Y,Y
SRID=4326;MULTIPOINT(9.839 54.607),DEU,DEKEY,KETELSBY,Y,"","",Y
SRID=4326;MULTIPOINT(9.968 54.731),DEU,DEKGA,KRONSGAARD,Y,"","",Y
SRID=4326;MULTIPOINT(9.607 53.672),DEU,DEKLV,KLEVENDEICH,Y,"","",Y
SRID=4326;MULTIPOINT(13.109 54.587),DEU,DEKLY,KLOSTER,Y,"","",Y
SRID=4326;MULTIPOINT(9.408 53.91),DEU,DEKNO,Kasenort,Y,"","",Y
SRID=4326;MULTIPOINT(14.023 54.039),DEU,DEKOC,KOELPINSEE,Y,"","",Y
SRID=4326;MULTIPOINT(9.488 53.725),DEU,DEKOL,KOLLMAR,Y,"","",Y
SRID=4326;MULTIPOINT(13.757 54.122),DEU,DEKSL,Kröslin,Y,"","",Y
SRID=4326;MULTIPOINT(14.003 54.051),DEU,DEKSW,KOSEROW,Y,"","",Y
SRID=4326;MULTIPOINT(11.742 54.147),DEU,DEKU3,Kühlungsborn,Y,"","",Y
SRID=4326;MULTIPOINT(9.559 53.664),DEU,DEKZD,KREUZDEICH,Y,"","",Y
SRID=4326;MULTIPOINT(13.692 54.28),DEU,DEKZR,KLEIN-ZICKER,Y,"","",Y
SRID=4326;MULTIPOINT(10.218 54.403),DEU,DELAB,LABOE,Y,"","",Y
SRID=4326;MULTIPOINT(13.5 54.342),DEU,DELAK,"Lauterbach, Rügen",Y,"","",Y
SRID=4326;MULTIPOINT(13.719 54.319),DEU,DELB2,LOBBE,Y,"","",Y
SRID=4326;MULTIPOINT(10.7 53.89),DEU,DELBC,Lübeck,Y,"",Y,Y
SRID=4326;MULTIPOINT(9.654 54.821),DEU,DELGY,LANGBALLIGAU,Y,"","",Y
SRID=4326;MULTIPOINT(9.983 54.515),DEU,DELHZ,LANGHOLZ,Y,"","",Y
SRID=4326;MULTIPOINT(8.44 55.017),DEU,DELIS,List/Sylt,Y,"",Y,Y
