geom,country_code,code,name,fishing_port,landing_place,commercial_port
"SRID=4326;MULTIPOINT(18.378 60.261)",SWE,SEOSH,Östhammar,,Y,
"SRID=4326;MULTIPOINT(16.458 57.267)",SWE,SEOSK,Oskarshamn,Y,,Y
"SRID=4326;MULTIPOINT(15.765 56.128)",SWE,SEOSN,"Östernäs, Senoren",,Y,
"SRID=4326;MULTIPOINT(17.85 58.967)",SWE,SEOSO,Ösmo,,Y,
"SRID=4326;MULTIPOINT(20.705 63.824)",SWE,SEOTN,Ostön,,Y,
"SRID=4326;MULTIPOINT(11.238 58.655)",SWE,SEOTO,Otterön,,Y,
"SRID=4326;MULTIPOINT(13.356 55.347)",SWE,SEOTP,Östra Torp,,Y,
"SRID=4326;MULTIPOINT(14.65 56)",SWE,SEOTR,Östra Torsö,,Y,
"SRID=4326;MULTIPOINT(17.446 60.61)",SWE,SEOVA,Överboda,,Y,
"SRID=4326;MULTIPOINT(17.109 58.657)",SWE,SEOXE,Oxelösund,Y,,Y
"SRID=4326;MULTIPOINT(17.658 62.464)",SWE,SEOXN,Oxviken,,Y,
"SRID=4326;MULTIPOINT(11.508 58.267)",SWE,SEOXV,Oxevik,,Y,
"SRID=4326;MULTIPOINT(16.363 56.969)",SWE,SEPAD,Palmelund,,Y,
"SRID=4326;MULTIPOINT(22.901 65.802)",SWE,SEPAL,Pålänge,,Y,
"SRID=4326;MULTIPOINT(16.468 57.163)",SWE,SEPAS,Påskallavik,Y,,
"SRID=4326;MULTIPOINT(21.515 65.231)",SWE,SEPIS,Pitsund,,Y,
"SRID=4326;MULTIPOINT(21.497 65.32)",SWE,SEPIT,Piteå,Y,,Y
"SRID=4326;MULTIPOINT(17.331 61.346)",SWE,SEPRG,Prästgrundet,,Y,
"SRID=4326;MULTIPOINT(18.126 62.709)",SWE,SEPRH,Prästhushamn,,Y,
"SRID=4326;MULTIPOINT(12.747 55.992)",SWE,SERAA,Råå,Y,,
"SRID=4326;MULTIPOINT(11.84 58.26)",SWE,SERAB,Raneberg,,Y,
"SRID=4326;MULTIPOINT(22.292 65.836)",SWE,SERAE,Råneå,,Y,
"SRID=4326;MULTIPOINT(11.175 58.857)",SWE,SERAH,Råssöhamn,,Y,
"SRID=4326;MULTIPOINT(11.458 58.202)",SWE,SERAK,Rågårdsvik,,Y,
"SRID=4326;MULTIPOINT(17.868 62.817)",SWE,SERAM,Ramvik,Y,,
"SRID=4326;MULTIPOINT(15.258 56.178)",SWE,SERAN,Risanäs,,Y,
"SRID=4326;MULTIPOINT(11.93 57.391)",SWE,SERAO,Råö,,Y,
"SRID=4326;MULTIPOINT(19.085 59.753)",SWE,SERAS,Rävsnäs,,Y,
"SRID=4326;MULTIPOINT(18.327 59.431)",SWE,SEREA,Resarö,,Y,
"SRID=4326;MULTIPOINT(12.673 56.242)",SWE,SEREK,Rekekroken,,Y,
"SRID=4326;MULTIPOINT(21.381 65.014)",SWE,SEREN,Renholmen,,Y,
"SRID=4326;MULTIPOINT(21.63 65.332)",SWE,SEREO,Renöhamn,,Y,
"SRID=4326;MULTIPOINT(11.167 58.8)",SWE,SERES,Resö,,Y,
"SRID=4326;MULTIPOINT(17.307 58.738)",SWE,SERGO,Rågö,,Y,
"SRID=4326;MULTIPOINT(21.381 64.513)",SWE,SERIB,Risböle,,Y,
"SRID=4326;MULTIPOINT(23.255 65.804)",SWE,SERIG,Risögrund,,Y,
"SRID=4326;MULTIPOINT(17.456 58.741)",SWE,SERIO,Ringsö,,Y,
